Department,text,Subtype
Handlooms Handicrafts Textiles and Khadi Department (HHTK),I have a complaint regarding powerloom electricity subsidy.,Powerloom Electricity Subsidy
Co-operation Food and Consumer Protection Department (FOODCO),Report on ration shop closed.,Ration Shop Closed
Information Technology Department (IT),"Issue with e-sevai centre closed, please resolve.",e-Sevai Centre Closed
Environment Climate Change and Forests Department (ENVFOR),I have a complaint regarding industrial pollution.,Industrial Pollution
Micro Small and Medium Enterprises Department (MSME),Urgent action needed on industrial shed allotment.,Industrial Shed Allotment
Legislative Assembly Department (LEGIS),Requesting help with assembly proceedings query.,Assembly Proceedings Query
Welfare of Differently Abled Persons (DIFFABLE),I have a complaint regarding tricycle/scooter request.,Tricycle/Scooter Request
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Requesting help with boat diesel subsidy.,Boat Diesel Subsidy
Social Welfare and Women Empowerment Department (SWNM),Complaint regarding Marriage Assistance Scheme,Marriage Assistance Scheme
Health and Family Welfare Department (HEALTH),Urgent action needed on dengue/malaria outbreak.,Dengue/Malaria Outbreak
Tamil Dev. and Information Department (TAMINF),Requesting help with government exhibition.,Government Exhibition
Commercial Taxes and Registration Department (CTREG),Requesting help with property registration delay.,Property Registration Delay
Youth Welfare and Sports Development Department (YOUTHSP),Report on stadium booking.,Stadium Booking
Housing and Urban Development Department (HUD),Requesting help with rental dispute.,Rental Dispute
Information Technology Department (IT),Broadband Connectivity Infrastructure,Broadband Connectivity Infrastructure
Public Works Department (PWD),Please look into this irrigation canal cleaning matter.,Irrigation Canal Cleaning
Energy Department (ENERGY),Please look into this meter fault / replacement matter.,Meter Fault / Replacement
Tamil Dev. and Information Department (TAMINF),Report on memorial maintenance.,Memorial Maintenance
Handlooms Handicrafts Textiles and Khadi Department (HHTK),"Issue with handicraft artisan loan, please resolve.",Handicraft Artisan Loan
Commercial Taxes and Registration Department (CTREG),Urgent action needed on guide value query.,Guide Value Query
Planning Development Department (PLGDEV),My grievance is about statistics data request.,Statistics Data Request
Industries Department (IND),Industrial Subsidy Delay,Industrial Subsidy Delay
Micro Small and Medium Enterprises Department (MSME),Urgent action needed on raw material cost.,Raw Material Cost
Welfare of Differently Abled Persons (DIFFABLE),Complaint regarding Special School Admission,Special School Admission
Human Resources Management Department (PAR),Problem faced: compassionate appointment delay.,Compassionate Appointment Delay
Police Department,"Help needed urgently, crime happening",Law and Order General
Human Resources Management Department (PAR),Problem faced: govt job recruitment scam.,Govt Job Recruitment Scam
Handlooms Handicrafts Textiles and Khadi Department (HHTK),I have a complaint regarding co-optex sales payment.,Co-optex Sales Payment
Social Welfare and Women Empowerment Department (SWNM),Problem faced: marriage assistance scheme.,Marriage Assistance Scheme
Commercial Taxes and Registration Department (CTREG),I have a complaint regarding property registration delay.,Property Registration Delay
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Please look into this handicraft artisan loan matter.,Handicraft Artisan Loan
Tourism Culture and Religious Endowments Department (TOURCUL),We are suffering due to temple maintenance.,Temple Maintenance
Environment Climate Change and Forests Department (ENVFOR),Please look into this wild animal intrusion matter.,Wild Animal Intrusion
Energy Department (ENERGY),Requesting help with meter fault / replacement.,Meter Fault / Replacement
Revenue and Disaster Management Department (REV),Report on old age pension (oap).,Old Age Pension (OAP)
Adi Dravidar and Tribal Welfare Department (ADW),"Issue with free house site patta - adw, please resolve.",Free House Site Patta - ADW
Public Works Department (PWD),I have a complaint regarding lake encroachment.,Lake Encroachment
Housing and Urban Development Department (HUD),Report on tnhb allotment issue.,TNHB Allotment Issue
Rural Development and Panchayat Raj Department (RDPR),Please look into this nrega wages pending matter.,NREGA Wages Pending
Transport Department (TRANS),Urgent action needed on bus pass issue.,Bus Pass Issue
Water Resources Department (WRD),Complaint against WRD for canal encroachment.,Canal Encroachment
Industries Department (IND),We are suffering due to single window clearance.,Single Window Clearance
Public Department (PUBLIC),Complaint regarding Ex-Servicemen Welfare,Ex-Servicemen Welfare
Adi Dravidar and Tribal Welfare Department (ADW),We are suffering due to scholarship issue - adw.,Scholarship Issue - ADW
Public Works Department (PWD),Govt Building Maintenance issue,Govt Building Maintenance
Public Works Department (PWD),Requesting help with govt building maintenance.,Govt Building Maintenance
Micro Small and Medium Enterprises Department (MSME),Complaint against MSME for industrial shed allotment.,Industrial Shed Allotment
Industries Department (IND),Please look into this sipcot land allotment matter.,SIPCOT Land Allotment
Revenue and Disaster Management Department (REV),Please look into this land survey request matter.,Land Survey Request
Micro Small and Medium Enterprises Department (MSME),Report on industrial shed allotment.,Industrial Shed Allotment
Human Resources Management Department (PAR),Urgent action needed on govt job recruitment scam.,Govt Job Recruitment Scam
Planning Development Department (PLGDEV),Report on statistics data request.,Statistics Data Request
Information Technology Department (IT),My grievance is about it park facilities.,IT Park Facilities
Public Elections Department (ELECTION),Problem faced: candidate malpractice.,Candidate Malpractice
Health and Family Welfare Department (HEALTH),Doctor was not in the PHC,Doctor Absent in GH
Labour Welfare and Skill Development Department (LBREMP),Problem faced: pf claim settlement.,PF Claim Settlement
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Please look into this weaver id card issue matter.,Weaver ID Card Issue
Co-operation Food and Consumer Protection Department (FOODCO),I have a complaint regarding ration rice quality.,Ration Rice Quality
Legislative Assembly Department (LEGIS),"Issue with assembly proceedings query, please resolve.",Assembly Proceedings Query
Information Technology Department (IT),I have a complaint regarding server down / website crash.,Server Down / Website Crash
Public Department (PUBLIC),Urgent action needed on law and order general.,Law and Order General
Human Resources Management Department (PAR),Report on disciplinary action appeal.,Disciplinary Action Appeal
Micro Small and Medium Enterprises Department (MSME),Urgent action needed on udyam registration error.,Udyam Registration Error
Industries Department (IND),We are suffering due to factory closure notice.,Factory Closure Notice
Revenue and Disaster Management Department (REV),Problem faced: cyclone relief not received.,Cyclone Relief Not Received
Human Resources Management Department (PAR),"Issue with transfer/posting request, please resolve.",Transfer/Posting Request
Micro Small and Medium Enterprises Department (MSME),MUDRA Loan Rejection,MUDRA Loan Rejection
Energy Department (ENERGY),High Electricity Bill issue,High Electricity Bill
Social Welfare and Women Empowerment Department (SWNM),Requesting help with working women hostel.,Working Women Hostel
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Problem faced: veterinary doctor unavailable.,Veterinary Doctor Unavailable
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),My grievance is about milk procurement price.,Milk Procurement Price
Revenue and Disaster Management Department (REV),We are suffering due to income/community certificate.,Income/Community Certificate
School Education Department (SCHOOL),Urgent action needed on school building dilapidated.,School Building Dilapidated
Highways and Minor Ports Department (HWY),Complaint against HWY for road signage missing.,Road Signage Missing
Housing and Urban Development Department (HUD),Complaint regarding TNHB Allotment Issue,TNHB Allotment Issue
Energy Department (ENERGY),Meter Fault / Replacement,Meter Fault / Replacement
Planning Development Department (PLGDEV),Report on state scheme implementation.,State Scheme Implementation
Revenue and Disaster Management Department (REV),My grievance is about income/community certificate.,Income/Community Certificate
Tourism Culture and Religious Endowments Department (TOURCUL),Hotel Registration issue,Hotel Registration
Legislative Assembly Department (LEGIS),Urgent action needed on mla office not open.,MLA Office Not Open
Commercial Taxes and Registration Department (CTREG),"Issue with gst return issue, please resolve.",GST Return Issue
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Urgent action needed on veterinary doctor unavailable.,Veterinary Doctor Unavailable
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Complaint regarding Co-optex Sales Payment,Co-optex Sales Payment
Environment Climate Change and Forests Department (ENVFOR),Complaint against ENVFOR for plastic waste ban violation.,Plastic Waste Ban Violation
Health and Family Welfare Department (HEALTH),Requesting help with sanitation in hospital.,Sanitation in Hospital
Micro Small and Medium Enterprises Department (MSME),Complaint against MSME for udyam registration error.,Udyam Registration Error
Industries Department (IND),Requesting help with industrial subsidy delay.,Industrial Subsidy Delay
